Aachen,Aquisgrán,{prop} /ˈɑ.kən/ (city in North Rhine-Westphalia)
açai,asaí {m},{n} /ˈa.saj/
Aalenian,aaleniano,{adj} (of or pertaining to the Aalenian period)
Aalenian,aaleniano {m},{prop} (subdivision of the Middle Jurassic period)
aalii,chirca {f},{n} /ɑˈliˌi/ (Dodonaea viscosa)
aardvark,cerdo hormiguero {m},{n} /ˈɑɹdˌvɑɹk/ (mammal)
aardwolf,"lobo de tierra {m},{n} /ˈɑɹd.ˌwʊlf/ (the mammal species Proteles cristatus)
Aaron,Aarón,{prop} /ˈɜɹ.ən/ (biblical brother of Moses)
Aaron,Aarón,{prop} (male given name)
abaca,abacá {m},{n} /ˌæb.əˈkɑ/ (plant)
abaca,,{n} (fiber/fibre) SEE:
abacist,abacista {m} {f},{n} /əˈbɑ.kəst/ (One who uses an abacus.)
aback,hacia atrás,{adv} /əˈbæk/
aback,,{n} (abacus) SEE:
abacus,ábaco {m},{n} /əˈbɑk.əs/ (calculating frame)
Abadan,Abadán,{prop} /ˌɑ.bɑˈdɑn/ (city in Iran)
abaft,a popa,{adv} ((nautical) On the aft side)
abaft,a popa,{prep} /ə'bɑft/ ((nautical) Behind; toward the stern relative to some other object or position; aft of)
abaisance,,{n} (obeisance) SEE:
abaka,,{n} (fiber/fibre) SEE:
abaka,abacá {m},{n} (plant)
abalone,"oreja de mar {f}, abulón {m}, loco {m}",{n} /æb.əˈloʊ.ni/ (edible univalve mollusc)
abandon,desenfreno {m},{n} (a giving up to natural impulses)
abandon,"renunciar, suspender",{v} /əˈbæn.dn̩/ (to give up)
abandon,expulsar,{v} (to cast out)
abandon,abandonar,{v} (to leave behind or desert)
abandon,renunciar,{v} (to relinquish a claim to property)
abandoned,abandonado,"{adj} /əˈbæn.dn̩d/ (forsaken, deserted)"
abandoned,"desenfrenado, desinhibido","{adj} (wicked, self-abandoned, given to sin)"
abandonment,abandono {m},{n}
abandonment,abandono {m},{n} /əˈbæn.dn̩.mn̩t/ (act of abandoning)
abase,"rebajar, degradar, humillar",{v} /ə.ˈbeɪs/ (to lower so as to hurt feelings)
abasement,rebajamiento,{n} /əˈbeɪs.mənt/ (the act of abasing)
abash,"confundir, avergonzar, abochornar","{v} /əˈbæʃ/ (to make ashamed, to embarrass)"
abashed,avergonzado,{adj} /əˈbæʃt/ (embarrassed)
abatage,,{n} (abattage) SEE:
abate,"reducir, suprimir, menguar",{v} /əˈbeɪt/ (to bring down or reduce to a lower state)
abate,"abatir, humillar",{v} (to bring down a person physically or mentally)
abatement,disminución {f},{n} /əˈbeɪt.mənt/ (the act of abating or the state of being abated)
abattoir,matadero {m},{n} /ˈæb.əˌtwɑɹ/ (public slaughterhouse)
abbatial,abacial,{adj} /əˈbeɪ.ʃl̩/ (belonging to an abbey)
abbess,abadesa {f},{n} /ˈæb.ɪs/ (female superior of a nunnery)
abbey,abadía {f},{n} /ˈæb.i/ (monastery headed by an abbot)
abbey,abadía {f},{n} (church of a monastery)
abbot,abad {m},{n} /ˈæb.ət/ (superior or head of an abbey or monastery)
abbreviate,abreviar,{v} /əˈbri.vi.eɪt/ (to make shorter)
abbreviate,simplificar,{v} (to reduce to lower terms)
abbreviated,abreviado,{adj} /əˈbri.viˌeɪ.tɪd/ (shortened)
abbreviation,abreviación {f},{n} (act or result of shortening or reducing)
abbreviation,abreviación {f},{n} /əˌbri.viˈeɪ.ʃn̩/ (shortened or contracted form of a word or phrase)
abbreviature,abreviatura,{n} /əˈbɹi.vi.əˌt͡ʃʊɹ/
ABC book,,{n} (primer) SEE:
abciximab,abciximab {m},{n} (antiplatelet drug)
abdest,abdesto {m},{n} (Islamic act of washing parts of the body)
abdicate,abdicar,{v} /ˈæb.dɪˌkeɪt/ (surrender or relinquish)
abdicate,abdicar,{v} (disinherit)
abdicate,abdicar,{v} (reject)
abdicate,abdicar,{v} (renounce a throne)
abdication,abdicación {f},"{n} /ˌæb.dəˈkeɪ.ʃən/ (the act of abdicating; the renunciation of a high office, dignity, or trust, by its holder)"
abdomen,"abdomen {m}, vientre {m}",{n} /ˈæb.də.mən/ (belly)
abdominal,abdominal,{adj} /æbˈdɑm.ə.nl̩/ (of or pertaining to the abdomen)
abdominal fin,,{n} /æbˈdɑm.ə.nl̩ fɪn/ (pelvic fin) SEE:
abduce,abducir,"{v} /æb.ˈdus/ (transitive, obsolete: to draw or conduct away; to withdraw; to draw to a different part)"
abduct,"raptar, secuestrar",{v} /æbˈdʌkt/ (to take away)
abduct,abducir,{v} (to draw away from its ordinary position)
abduction,"rapto {m}, secuestro {m}",{n} /æbˈdʌk.ʃn̩/ (act of abducing or abducting)
abduction,rapto {m},{n} (law: carrying off of a human being)
abduction,abducción {f},{n} (logic: syllogism)
abduction,abducción {f},{n} (physiology: movement separating limb from axis)
abductor,"raptor {m}, secuestrador {m}",{n} /æbˈdʌk.tɚ/ (kidnapper)
abductor,abductor {m},{n} (muscle)
abearance,,{n} /əˈbɜɹ.əns/ (behavior) SEE:
Abecedarian,abecedariano {m},{n} /ˌeɪ.biˌsiˈdæɹ.i.ən/ (member of a 16th-century sect)
abecedarium,,{n} /ˌeɪ.biˌsiˈdæɹ.i.əm/ (a book used to teach the alphabet) SEE:
abed,"en cama, acostado","{adv} /əˈbɛd/ (In bed, or on the bed)"
Abel,Abel {m},{prop} /ˈeɪ.bəl/ (biblical character)
Abel,Abel {m},{prop} (male given name)
Abelam,,{prop} /əˈbə.ləm/ (Ambulas) SEE:
Abelard,Abelardo,{prop} /ˈæb.ə.ˌlɑɹd/ (male given name)
abelian,"abeliano, conmutativo",{adj} /əˈbi.li.ən/ (math: of a group)
Abelian,abelonita {m} {f},{n} (member of a sect living like Abel)
Abelian algebra,,{n} (commutative algebra) SEE:
abelian group,grupo abeliano {m},{n} /əˈbi.li.ən ɡɹup/ (a group in which the group operation is commutative)
abelmosk,abelmosco {m},{n} /ˈeɪ.bəlˌmɑsk/ (evergreen shrub)
Abelonian,,{n} (Abelian) SEE:
aberrance,aberración {f},"{n} /ˈæ.bɛɹ.n̩s/ (state of being aberrant; a wandering from the right way; deviation from truth, rectitude)"
aberrant,aberrante,{adj} (deviating from morality)
aberrant,"anómalo, atípico",{adj} (deviating from the ordinary or natural type; exceptional; abnormal)
aberrant,"aberrante, anormal",{adj} /əbˈɛɹ.n̩t/ (wandering; straying from the right way)
aberration,aberración {f},{n}
aberration,aberración {f},{n} /ˌæb.əˈreɪ.ʃn̩/ (deviation)
aberration,aberración {f},{n} (astronomy: small periodical change of position of heavenly bodies)
aberration,aberración {f},{n} (optics: convergence to different foci)
aberration,"aberración {f}, perturbación mental {f}",{n} (physiology: deviation from the normal state)
aberration,aberración {f},"{n} (zoology, botany: atypical development or structure)"
abessive case,caso abesivo {m},{n} (case used to express the lack of something)
abet,incitar,{v} /əˈbɛt/ (to assist or encourage in crime)
abet,ayudar,"{v} (to support, uphold, or aid)"
abettor,cómplice {m} {f},{n} /əˈbɛt.ɚ/ (accomplice)
abeyance,"expectativa {f}, esperanza {f}, suspenso {m}",{n} /əˈbeɪ.ənts/ (expectancy; condition of being undetermined)
abeyance,"suspensión {f}, desuso {m}, suspenso {m}",{n} (suspension; temporary suppression)
abhor,"aborrecer, detestar, abominar",{v} /æbˈhɔr/ (to regard with horror or detestation)
abhorrence,aborrecimiento {m},{n}
abhorrence,"aborrecimiento {m}, odio {m}",{n} /əbˈhɔɹ.n̩s/ (extreme aversion)
abhorrent,repugnante,{adj} /æbˈhɔɹ.ənt/
abide,"habitar, demorar",{v} /əˈbaɪd/ (to dwell)
abide,"quedar, permanecer",{v} (to endure)
abide,"tolerar, soportar",{v} (to tolerate)
abide by,someterse,{v} (to accept a decision or law and act in accordance with it; to conform to; to acquiesce)
abide by,"someterse a, adherirse a, observar",{v} (to remain faithful to something or someone; to stand to; to adhere)
Abidjan,Abiyán,{prop} /ˌæb.ɪˈdʒɑn/ (the largest city of Côte d'Ivoire)
Abigail,Abigáil,{prop} /ˈab.ə.ɡeɪl/ (biblical wife of David)
abigeat,abigeato {m},{n} (theft of cattle)
ability,capacidad {f},{n} (a skill or competence)
ability,habilidad {f},{n} /əˈbɪl.ə.ti/ (quality or state of being able)
abime,"abismo {m}, sima {f}",{n} (a bottomless or unfathomed depth)
Abimelech,Abimelech,{prop} /əˈbɪm.əˌlɛk/ (name of Philistine kings)
ab initio,"ab initio, desde el principio",{adv} /ˌæb ɪˈnɪʃ.i.oʊ/ (referring to the time from when a legal document comes into force)
abiogenesis,"autogénesis {f}, generación espontánea {f}",{n} /ˌeɪˌbai.oʊˈdʒɛn.ə.sɪs/ (abiogenesis)
abiotic,abiótico,{adj} /ˌeɪ.baɪˈɑt.ɪk/ (Nonliving)
a bird in the hand is worth two in the bush,más vale pájaro en mano que ciento volando (A bird in one hand is worth more than a hundred in flight),{proverb} (small but certain advantage is preferable)
a bit,,{adv} (a little) SEE:
a bit much,demasiado,{n} (More than is reasonable)
abiu,caimito {m},{n} (tree)
abjad,"abyad {m}, abjad",{n} (writing system)
abject,abatido,{adj} /ˈæb.d͡ʒɛkt/ (Sunk to a low condition; down in spirit or hope)
abjectly,abyectamente,"{adv} /æbˈd͡ʒɛkt.li/ (with great shame, desperately; in an abject fashion)"
abjure,abjurar,{v} /æbˈdʒʊɹ/
Abkhaz,abjasio {m} {f},{n} /ˈɑb.kɑz/ (person from Abkhazia)
Abkhaz,"abjaso {m}, abjasio {m}",{prop} (a Northwest Caucasian language spoken in Abkhazia)
Abkhazia,Abjasia {f},{prop} /ɑbˈkɑ.zi.ə/ (a region/country in the Caucasus)
Abkhazian,,{adj} /æbˈkɑ.ʒən/ (Of or pertaining to Abkhazia) SEE:
Abkhazian,,{n} (Abkhaz) SEE:
Abkhazian,,{prop} (Abkhazian language) SEE:
ablation,ablación {f},{n} (amputation)
ablation,ablación {f},{n} /əˈbleɪ.ʃn̩/ (removal)
ablative,ablativo {m},{n} /ˈæb.lə.tɪv/ ((grammar) the ablative case)
ablative case,ablativo {m},"{n} (grammar case used to indicate movement away from something, removal, separation, source)"
ablaze,"ardiendo, en llamas",{adj} /əˈbleɪz/ (on fire)
ablaze,"radiante, ardiente, resplandeciente",{adj} (glowing)
ablaze,en llamas,{adv} (on fire)
able,,{adj} /ˈeɪ.bl̩/ (healthy) SEE:
able,competente,{adj} (legally qualified)
able,capaz,{adj} (permitted to)
able,"diestro, hábil, capaz",{adj} (skillful)
-able,"-able, -ible",{suffix}
-able,"-able, -ible",{suffix} /ə.bl̩/ (able to be)
able,,{v} (enable) SEE:
able,,{v} (vouch for) SEE:
ablution,ablución {f},{n}
