[null]
[ed, s, en]
-2147456755,nuclear physics,física nuclear,NOUN
-2147292550,parhelion,parhelio,NOUN
-2147234211,accountability,responsabilidad,NOUN
-2147163683,opera glasses,aclínico,NOUN
-2146934286,skirmish,escaramuza ,NONE
-2146634921,anomalous,anómalo,ADJECTIVE
-2146584531,accentor,acentor,NOUN
-2146524949,acceptor,aceptador,NOUN
-2146465706,columbine,colombina ,NONE
-2146437046,for what it's worth,por si sirve de algo,ADVERB
-2146425837,etiopathogenesis,etiopatogenia,NOUN
-2146398794,wrongful death statute,estatuto de la muerte por negligencia de otro,NOUN
-2146373516,columella,columela,NOUN
-2146108044,columnist,columnista,NOUN
-2145782104,sonata form,forma sonata,NOUN
-2145689493,vocation,vocación,NOUN
-2145689285,vocative,vocativo,ADJECTIVE
-2145121324,starboard,estribor,NOUN
-2145054736,transfer rna,ARN de transferencia,NOUN
-2145053194,transfer tax,impuesto de transferencia,NOUN
-2144882564,four o'clock,las cuatro,NOUN
-2144868064,excommunicate,excomulgar,VERB
-2144336256,zephaniah,Sofonías,PROPOSITIOIN
-2144081149,badlands,tierras baldías,NOUN
-2143620326,hypotenuse,hipotenusa,NOUN
-2143202801,accident,accidente,NOUN
-2143003338,transference,transferencia,NOUN
-2142174641,typographical,tipográfico,ADJECTIVE
-2141737487,organelle,orgánulo,NONE
-2141605087,organized,organizado ,NONE
-2141605073,organizer,organizador,NOUN
-2141384043,impossible,imposible,ADJECTIVE
-2141384023,impossibly,imposiblemente,ADVERB
-2141120100,hypothesis,hipótesis,NOUN
-2141049413,playground,parque infantil,NOUN
-2140897157,stargazer,uranoscópido,NOUN
-2140835682,tommy gun,,NOUN
-2140425148,monosyllabic,monosílabo,ADJECTIVE
-2140386536,squirting cucumber,cohombrillo amargo ,NONE
-2140169871,utterance,enunciado,NOUN
-2140094106,fantastical,,ADJECTIVE
-2139804953,reiterate,reiterar,VERB
-2139698131,endocrinologist,endocrinólogo,NOUN
-2139447059,meso-region,mesorregión,NOUN
-2139208497,misleading,engañoso,NONE
-2138757239,botswana,Botsuana,PROPOSITIOIN
-2138744398,prosthesis,prótesis,NOUN
-2138433389,unsatisfactory,insatisfactorio,ADJECTIVE
-2138247416,theoretical,teórico,ADJECTIVE
-2138108372,whimbrel,zarapito,NOUN
-2137707097,traditional,tradicional,ADJECTIVE
-2137427516,accolade,elogio,NOUN
-2137371763,prostitute,prostituta,NOUN
-2137230043,botulism,botulismo,NOUN
-2137219794,Hegira,hégira ,NONE
-2137164786,whinchat,tarabilla,NOUN
-2137108253,high muckamuck,,NOUN
-2136686881,think about,pensar en alguien,NONE
-2136428635,new year's day,Año Nuevo,NOUN
-2136427043,new year's eve,Nochevieja,PROPOSITIOIN
-2136388987,think aloud,pensar en voz alta,VERB
-2136375106,right as rain,como nuevo,ADJECTIVE
-2135055806,whiplash,tralla,NOUN
-2134873301,Navarran,navarro ,NONE
-2134862437,accredit,acreditar,VERB
-2134860419,jeopardize,poner en peligro,VERB
-2134774807,dumbbell,pesas ,NONE
-2134759500,republic of latvia,República de Letonia,PROPOSITIOIN
-2134699126,danish crow,,NOUN
-2134652663,ensemble,conjunto,NOUN
-2134300701,anthology,antología,NOUN
-2134279607,lycanthrope,licántropo,NOUN
-2133937295,extrasystole,extrasístole,NOUN
-2133935700,convivence,convivencia,NOUN
-2133698087,reinvent the wheel,descubrir el agua tibia,VERB
-2133137683,skyclad,vestido al cielo,ADJECTIVE
-2132879601,skylark,alondra común,NOUN
-2132874958,specific,específico,ADJECTIVE
-2132868344,specimen,ejemplar,NOUN
-2132785904,satanism,satanismo,NOUN
-2132762507,please speak more slowly,por favor habla más despacio,NONE
-2132713090,exophthalmos,exoftalmia,NOUN
-2132681874,obscurity,oscuridad,NOUN
-2132535343,spectrum,espectro,NOUN
-2132511318,speculum,espéculo,NOUN
-2132286192,creme de la creme,,NOUN
-2132036768,whistler,,NOUN
-2131935945,singularity,singularidad,NOUN
-2131876321,singulative,singulativo,NOUN
-2131726356,enshrine,consagra,VERB
-2131707655,accuracy,exactitud,NONE
-2131707148,accurate,preciso,NONE
-2131686217,level up,avanzar,NONE
-2131659245,accustom,acostumbrarse,VERB
-2131645308,chickenpox,varicela ,NONE
-2131550684,hiv positive,VIH positivo,ADJECTIVE
-2131537654,changeable,cambiable,NONE
-2131445451,leverage,influencia,NOUN
-2131089186,fugacious,fugaz,ADJECTIVE
-2131057646,cashew nut,almendra de cayú  ,NONE
-2130581282,interlingua,interlingua,PROPOSITIOIN
-2130161807,abstainer,abstemio,NOUN
-2128944683,transmembranal,transmembranal,ADJECTIVE
-2128542381,subclinical,subclínico,ADJECTIVE
-2128483541,permanent wave,,NOUN
-2128117491,tsao shu,,NOUN
-2127691382,levitate,levitar,VERB
-2127558170,caisson disease,,NOUN
-2127286205,price tag,etiqueta de precio,NOUN
-2126963432,chicken breast,pechuga de pollo,NOUN
-2126909920,voluntary,voluntario,ADJECTIVE
-2126906486,volunteer,voluntario,NOUN
-2126455949,acquiesce,conformarse,VERB
-2126423541,lollipop,piruleta ,NONE
-2126352885,slander,calumnia,NOUN
-2126281771,slapper,zorra ,NONE
-2126113186,slavery,esclavitud,NOUN
-2126008178,acquittal,absolución,NOUN
-2125583173,I need your help,necesito tu ayuda,NONE
-2125575659,sub-zero,bajo cero,ADJECTIVE
-2125519536,synchronize,sincronizar,VERB
-2125513911,synchronous,síncrono,ADJECTIVE
-2125507295,schadenfreude,alegría maligna ,NONE
-2125381176,icelandish,,ADJECTIVE
-2125170873,adventitious,aleatorio,ADJECTIVE
-2125152498,ivanovo,Ivánovo,PROPOSITIOIN
-2124796951,romantically,románticamente,ADVERB
-2124744122,autochthonous,autóctono,ADJECTIVE
-2124618024,superstitiously,supersticiosamente,ADVERB
-2124568461,hemodynamics,hemodinámica,NOUN
-2124470854,spelling,ortografía,NOUN
-2124359071,simpleton,ababol,NONE
-2124090292,complex analysis,análisis complejo,NOUN
-2123919667,earthquake,terremoto ,NONE
-2123426416,contracting,contratación,VERB
-2123426378,contraction,contracción,NOUN
-2123400363,catalanism,catalanismo,NOUN
-2123400154,catalanize,catalanizar,VERB
-2123170903,tsaritsa,,NOUN
-2123092705,terrarium,terrario,NOUN
-2122915388,sleeper,durmiente,NOUN
-2122701164,existent,existente,ADJECTIVE
-2122697333,existing,existente,ADJECTIVE
-2122658801,slender,esbelto,ADJECTIVE
-2122633052,abstinent,abstinente,ADJECTIVE
-2122452127,earthshine,luz cenicienta,NOUN
-2122341046,cutie pie,papi chulo,NOUN
-2121997799,Anglo-Saxon,anglosajón ,NONE
-2121543702,dumpling,albóndiga ,NONE
-2120976951,mackerel bird,,NOUN
-2120973834,tetragrammaton,tetragrámaton,NOUN
-2120890375,cardiovascular,cardiovascular,ADJECTIVE
-2120886766,rambunctious,estrepitoso,ADJECTIVE
-2120744511,luminosity,luminosidad,NOUN
-2120675567,luminously,luminosamente,ADVERB
-2120622902,premature birth,nacimiento prematuro,NOUN
-2120420412,digestion,digestión,NOUN
-2120420204,digestive,digestivo,ADJECTIVE
-2120032500,brazen-faced,sinvergüenza,ADJECTIVE
-2119706663,preemption,preempción ,NONE
-2119706455,preemptive,preventivo,ADJECTIVE
-2119683500,fast-forward,,VERB
-2119680384,bouillon,caldo,NOUN
-2119299967,cardboard box,caja de cartón,NOUN
-2119254905,seychelles,Seychelles,PROPOSITIOIN
-2119063708,philately,filatelia,NOUN
-2118961834,slinger,hondero,NOUN
-2118893603,slipper,zapatilla,NOUN
-2118543459,happen on,,VERB
-2118512009,caritive case,caso caritivo,NOUN
-2118499360,southeast asia,Sureste Asiático,PROPOSITIOIN
-2118327267,posterior chamber,cámara posterior,NOUN
-2118245709,zirconate,circonato,NOUN
-2118237982,zirconium,circonio,NOUN
-2118006687,have a bone to pick,tener que arreglar las cuentas con alguien,VERB
-2117935978,limnodophyte,,NOUN
-2117604254,biceps brachii,bíceps braquial,NOUN
-2116976046,policymaker,formulador de políticas,NONE
-2116894936,shibboleth,santo y seña,NONE
-2116886369,antichain,anticadena,NOUN
-2116856848,separately,separadamente,ADVERB
-2116852799,separatism,separatismo,NOUN
-2116852792,separatist,separatista,NOUN
-2116674763,anticodon,anticodón,NOUN
-2116422727,unvisible,,ADJECTIVE
-2116422707,unvisibly,,ADVERB
-2116218126,sophocles,Sófocles,PROPOSITIOIN
-2116025286,sebaceous,sebáceo,ADJECTIVE
-2115639270,territory,territorio,NOUN
-2115573603,kiss someone's ass,,VERB
-2115328656,beauty contest,,NOUN
-2115311574,boundary,frontera ,NONE
-2115063775,sasquatch,Sascuache,NOUN
-2115028956,accession,ascenso,NOUN
-2115023086,accessory,accesorio,NONE
-2115015196,single ticket,,NOUN
-2114782937,happiness,felicidad,NOUN
-2114682958,affirmance,,NOUN
-2114442949,leave somebody holding the bag,echar el muerto,VERB
-2114203985,saturate,empapar,VERB
-2114201671,saturday,sábado,NOUN
-2114192074,saturnal,saturnal,ADJECTIVE
-2114121444,connoisseur,connaisseur,NOUN
-2113854869,red-backed hawk,aguilucho ,NONE
-2113783005,slobber,babear,VERB
-2113555954,interspecific,interespecífico,ADJECTIVE
-2113536639,vendetta,vendetta ,NONE
-2113436450,transcaucasia,,PROPOSITIOIN
-2113184036,slovene,esloveno,ADJECTIVE
-2113143804,high fidelity,alta fidelidad,NOUN
-2113083352,nanosecond,nanosegundo,NOUN
-2112240828,venereal,venéreo,ADJECTIVE
-2112177400,venetian,veneciano,ADJECTIVE
-2112113240,bridegroom,novio,NOUN
-2112110458,ivorian,marfileño,ADJECTIVE
-2111444958,postal code,,NOUN
-2111412418,Iberia,Iberia caucásica,NONE
-2110980246,boyfriend,novio ,NONE
-2110779488,vengeful,vengativo,ADJECTIVE
-2110471626,catalonian,,ADJECTIVE
-2110456623,loo roll,,NOUN
-2110163473,terrorism,terrorismo,NOUN
-2110163466,terrorist,terrorista,NOUN
-2110163264,terrorize,,VERB
-2109544279,fluently,fluidamente,ADVERB
-2109494605,contrary to,,PREPOSITION
-2109065882,imagination,imaginación,NOUN
