word;d;type;t
a;;art;{art} /e?/ (an) SEE:
a;a {f};n;"{n} /e?/ (name of the letter A, a)"
Aachen;Aquisgr�n;prop;{prop} /??.k?n/ (city in North Rhine-Westphalia)
aah;"�ay!, �ah!";interj;{interj} (expressing amazement or surprise)
a�ai;asa� {m};n;{n} /?a.saj/
Aalenian;aaleniano;adj;{adj} (of or pertaining to the Aalenian period)
Aalenian;aaleniano {m};prop;{prop} (subdivision of the Middle Jurassic period)
aalii;chirca {f};n;{n} /??li?i/ (Dodonaea viscosa)
aardvark;cerdo hormiguero {m};n;{n} /???d?v??k/ (mammal)
aardwolf;"lobo de tierra {m}, proteles {m}";n;{n} /???d.?w?lf/ (the mammal species Proteles cristatus)
Aaron;Aar�n;prop;{prop} /???.?n/ (biblical brother of Moses)
Aaron;Aar�n;prop;{prop} (male given name)
abaca;abac� {m};n;{n} /?�b.??k?/ (plant)
abaca;;n;{n} (fiber/fibre) SEE:
abacist;abacista {m} {f};n;{n} /??b?.k?st/ (One who uses an abacus.)
aback;hacia atr�s;adv;{adv} /??b�k/
aback;;n;{n} (abacus) SEE:
abacus;�baco {m};n;{n} /??b?k.?s/ (calculating frame)
Abadan;Abad�n;prop;{prop} /??.b??d?n/ (city in Iran)
abaft;a popa;adv;{adv} ((nautical) On the aft side)
abaft;a popa;prep;{prep} /?'b?ft/ ((nautical) Behind; toward the stern relative to some other object or position; aft of)
abaisance;;n;{n} (obeisance) SEE:
abaka;;n;{n} (fiber/fibre) SEE:
abaka;abac� {m};n;{n} (plant)
abalone;"oreja de mar {f}, abul�n {m}, loco {m}";n;{n} /�b.??lo?.ni/ (edible univalve mollusc)
abandon;desenfreno {m};n;{n} (a giving up to natural impulses)
abandon;"renunciar, suspender";v;{v} /??b�n.dn?/ (to give up)
abandon;expulsar;v;{v} (to cast out)
abandon;abandonar;v;{v} (to leave behind or desert)
abandon;renunciar;v;{v} (to relinquish a claim to property)
abandoned;abandonado;adj;"{adj} /??b�n.dn?d/ (forsaken, deserted)"
abandoned;"desenfrenado, desinhibido";adj;"{adj} (wicked, self-abandoned, given to sin)"
abandonment;abandono {m};n;{n}
abandonment;abandono {m};n;{n} /??b�n.dn?.mn?t/ (act of abandoning)
abase;"rebajar, degradar, humillar";v;{v} /?.?be?s/ (to lower so as to hurt feelings)
abasement;"rebajamiento {m}, abatimiento {m}, humillaci�n {m}";n;{n} /??be?s.m?nt/ (the act of abasing)
abash;"confundir, avergonzar, abochornar";v;"{v} /??b�?/ (to make ashamed, to embarrass)"
abashed;avergonzado;adj;{adj} /??b�?t/ (embarrassed)
abatage;;n;{n} (abattage) SEE:
abate;"reducir, suprimir, menguar";v;{v} /??be?t/ (to bring down or reduce to a lower state)
abate;"abatir, humillar";v;{v} (to bring down a person physically or mentally)
abatement;disminuci�n {f};n;{n} /??be?t.m?nt/ (the act of abating or the state of being abated)
abattoir;matadero {m};n;{n} /?�b.??tw??/ (public slaughterhouse)
abbatial;abacial;adj;{adj} /??be?.?l?/ (belonging to an abbey)
abbess;abadesa {f};n;{n} /?�b.?s/ (female superior of a nunnery)
abbey;abad�a {f};n;{n} /?�b.i/ (monastery headed by an abbot)
abbey;abad�a {f};n;{n} (church of a monastery)
abbot;abad {m};n;{n} /?�b.?t/ (superior or head of an abbey or monastery)
abbreviate;abreviar;v;{v} /??bri.vi.e?t/ (to make shorter)
abbreviate;simplificar;v;{v} (to reduce to lower terms)
abbreviated;abreviado;adj;{adj} /??bri.vi?e?.t?d/ (shortened)
abbreviation;abreviaci�n {f};n;{n} (act or result of shortening or reducing)
abbreviation;abreviaci�n {f};n;{n} /??bri.vi?e?.?n?/ (shortened or contracted form of a word or phrase)
abbreviature;abreviatura;n;{n} /??b?i.vi.??t????/
ABC book;;n;{n} (primer) SEE:
abciximab;abciximab {m};n;{n} (antiplatelet drug)
abdest;abdesto {m};n;{n} (Islamic act of washing parts of the body)
abdicate;abdicar;v;{v} /?�b.d??ke?t/ (surrender or relinquish)
abdicate;abdicar;v;{v} (disinherit)
abdicate;abdicar;v;{v} (reject)
abdicate;abdicar;v;{v} (renounce a throne)
abdication;abdicaci�n {f};n;"{n} /?�b.d??ke?.??n/ (the act of abdicating; the renunciation of a high office, dignity, or trust, by its holder)"
abdomen;"abdomen {m}, vientre {m}";n;{n} /?�b.d?.m?n/ (belly)
abdominal;abdominal;adj;{adj} /�b?d?m.?.nl?/ (of or pertaining to the abdomen)
abdominal fin;;n;{n} /�b?d?m.?.nl? f?n/ (pelvic fin) SEE:
abduce;abducir;v;"{v} /�b.?dus/ (transitive, obsolete: to draw or conduct away; to withdraw; to draw to a different part)"
abduct;"raptar, secuestrar";v;{v} /�b?d?kt/ (to take away)
abduct;abducir;v;{v} (to draw away from its ordinary position)
abduction;"rapto {m}, secuestro {m}";n;{n} /�b?d?k.?n?/ (act of abducing or abducting)
abduction;rapto {m};n;{n} (law: carrying off of a human being)
abduction;abducci�n {f};n;{n} (logic: syllogism)
abduction;abducci�n {f};n;{n} (physiology: movement separating limb from axis)
abductor;"raptor {m}, secuestrador {m}";n;{n} /�b?d?k.t?/ (kidnapper)
abductor;abductor {m};n;{n} (muscle)
abearance;;n;{n} /??b??.?ns/ (behavior) SEE:
Abecedarian;abecedariano {m};n;{n} /?e?.bi?si?d�?.i.?n/ (member of a 16th-century sect)
abecedarium;;n;{n} /?e?.bi?si?d�?.i.?m/ (a book used to teach the alphabet) SEE:
abed;"en cama, acostado";adv;"{adv} /??b?d/ (In bed, or on the bed)"
Abel;Abel {m};prop;{prop} /?e?.b?l/ (biblical character)
Abel;Abel {m};prop;{prop} (male given name)
Abelam;;prop;{prop} /??b?.l?m/ (Ambulas) SEE:
Abelard;Abelardo;prop;{prop} /?�b.?.?l??d/ (male given name)
abelian;"abeliano, conmutativo";adj;{adj} /??bi.li.?n/ (math: of a group)
Abelian;abelonita {m} {f};n;{n} (member of a sect living like Abel)
Abelian algebra;;n;{n} (commutative algebra) SEE:
abelian group;grupo abeliano {m};n;{n} /??bi.li.?n ??up/ (a group in which the group operation is commutative)
abelmosk;abelmosco {m};n;{n} /?e?.b?l?m?sk/ (evergreen shrub)
Abelonian;;n;{n} (Abelian) SEE:
aberrance;aberraci�n {f};n;"{n} /?�.b??.n?s/ (state of being aberrant; a wandering from the right way; deviation from truth, rectitude)"
aberrant;aberrante;adj;{adj} (deviating from morality)
aberrant;"an�malo, at�pico";adj;{adj} (deviating from the ordinary or natural type; exceptional; abnormal)
aberrant;"aberrante, anormal";adj;{adj} /?b???.n?t/ (wandering; straying from the right way)
aberration;aberraci�n {f};n;{n}
aberration;aberraci�n {f};n;{n} /?�b.??re?.?n?/ (deviation)
aberration;aberraci�n {f};n;{n} (astronomy: small periodical change of position of heavenly bodies)
aberration;aberraci�n {f};n;{n} (optics: convergence to different foci)
aberration;"aberraci�n {f}, perturbaci�n mental {f}";n;{n} (physiology: deviation from the normal state)
aberration;aberraci�n {f};n;"{n} (zoology, botany: atypical development or structure)"
abessive case;caso abesivo {m};n;{n} (case used to express the lack of something)
abet;incitar;v;{v} /??b?t/ (to assist or encourage in crime)
abet;ayudar;v;"{v} (to support, uphold, or aid)"
abettor;c�mplice {m} {f};n;{n} /??b?t.?/ (accomplice)
abeyance;"expectativa {f}, esperanza {f}, suspenso {m}";n;{n} /??be?.?nts/ (expectancy; condition of being undetermined)
abeyance;"suspensi�n {f}, desuso {m}, suspenso {m}";n;{n} (suspension; temporary suppression)
abhor;"aborrecer, detestar, abominar";v;{v} /�b?h?r/ (to regard with horror or detestation)
abhorrence;aborrecimiento {m};n;{n}
abhorrence;"aborrecimiento {m}, odio {m}";n;{n} /?b?h??.n?s/ (extreme aversion)
abhorrent;repugnante;adj;{adj} /�b?h??.?nt/
abide;"habitar, demorar";v;{v} /??ba?d/ (to dwell)
abide;"quedar, permanecer";v;{v} (to endure)
abide;"tolerar, soportar";v;{v} (to tolerate)
abide by;someterse;v;{v} (to accept a decision or law and act in accordance with it; to conform to; to acquiesce)
abide by;"someterse a, adherirse a, observar";v;{v} (to remain faithful to something or someone; to stand to; to adhere)
Abidjan;Abiy�n;prop;{prop} /?�b.??d??n/ (the largest city of C�te d'Ivoire)
Abigail;Abig�il;prop;{prop} /?ab.?.?e?l/ (biblical wife of David)
abigeat;abigeato {m};n;{n} (theft of cattle)
ability;capacidad {f};n;{n} (a skill or competence)
ability;habilidad {f};n;{n} /??b?l.?.ti/ (quality or state of being able)
abime;"abismo {m}, sima {f}";n;{n} (a bottomless or unfathomed depth)
Abimelech;Abimelech;prop;{prop} /??b?m.??l?k/ (name of Philistine kings)
ab initio;"ab initio, desde el principio";adv;{adv} /?�b ??n??.i.o?/ (referring to the time from when a legal document comes into force)
abiogenesis;"autog�nesis {f}, generaci�n espont�nea {f}";n;{n} /?e??bai.o??d??n.?.s?s/ (abiogenesis)
abiotic;abi�tico;adj;{adj} /?e?.ba???t.?k/ (Nonliving)
a bird in the hand is worth two in the bush;m�s vale p�jaro en mano que ciento volando (A bird in one hand is worth more than a hundred in flight);proverb;{proverb} (small but certain advantage is preferable)
a bit;;adv;{adv} (a little) SEE:
a bit much;demasiado;n;{n} (More than is reasonable)
abiu;caimito {m};n;{n} (tree)
abjad;"abyad {m}, abjad";n;{n} (writing system)
abject;abatido;adj;{adj} /?�b.d???kt/ (Sunk to a low condition; down in spirit or hope)
abjectly;abyectamente;adv;"{adv} /�b?d???kt.li/ (with great shame, desperately; in an abject fashion)"
abjure;abjurar;v;{v} /�b?d???/
Abkhaz;abjasio {m} {f};n;{n} /??b.k?z/ (person from Abkhazia)
Abkhaz;"abjaso {m}, abjasio {m}";prop;{prop} (a Northwest Caucasian language spoken in Abkhazia)
Abkhazia;Abjasia {f};prop;{prop} /?b?k?.zi.?/ (a region/country in the Caucasus)
Abkhazian;;adj;{adj} /�b?k?.??n/ (Of or pertaining to Abkhazia) SEE:
Abkhazian;;n;{n} (Abkhaz) SEE:
Abkhazian;;prop;{prop} (Abkhazian language) SEE:
ablation;ablaci�n {f};n;{n} (amputation)
ablation;ablaci�n {f};n;{n} /??ble?.?n?/ (removal)
ablative;ablativo {m};n;{n} /?�b.l?.t?v/ ((grammar) the ablative case)
ablative case;ablativo {m};n;"{n} (grammar case used to indicate movement away from something, removal, separation, source)"
ablaze;"ardiendo, en llamas";adj;{adj} /??ble?z/ (on fire)
ablaze;"radiante, ardiente, resplandeciente";adj;{adj} (glowing)
ablaze;en llamas;adv;{adv} (on fire)
able;;adj;{adj} /?e?.bl?/ (healthy) SEE:
able;competente;adj;{adj} (legally qualified)
able;capaz;adj;{adj} (permitted to)
able;"diestro, h�bil, capaz";adj;{adj} (skillful)
-able;"-able, -ible";suffix;{suffix}
-able;"-able, -ible";suffix;{suffix} /?.bl?/ (able to be)
able;;v;{v} (enable) SEE:
able;;v;{v} (vouch for) SEE:
ablution;abluci�n {f};n;{n}
ablution;abluci�n {f};n;{n} /??blu.?n?/ (the act of washing or cleansing)
ably;"capaz, h�bilmente";adv;{adv} /?e?.bli/ (with great ability)
abnegate;abnegar;v;{v} /?�b.n?.?e?t/ (to deny oneself something)
abnegate;rechazar;v;"{v} (to reject, to deny)"
abnegation;abnegaci�n {f};n;{n} /?�b.n?????.?n?/ (denial; renunciation)
abnormal;anormal;adj;{adj} /?�b?n??.ml?/ (not conforming to rule or system)
abnormal;anormal;adj;{adj} (of or pertaining to behaviour that deviates from norms)
abnormality;anormalidad {f};n;{n} /?�b?n???m�l.?t.i/ (state of being abnormal)
abnormally;anormalmente;adv;{adv} /�b?n??.m?.li/ (In an abnormal manner)
aboard;a bordo;adv;{adv} /??b?rd/ (on board)
aboard;a bordo de;prep;{prep} (on board of)
abode;"morada {f}, residencia {f}, vivienda {f}";n;{n} /??b??d/ (slightly dated: residence)
abolish;"abolir, suprimir, abrogar, quitar";v;{v} /??b?l.??/ (to do away with)
abolish;destrozar;v;{v} (to destroy)
abolishment;abolici�n {f};n;{n} /??bal.??.m?nt/ (The act of abolishing)
abolition;abolici�n {f};n;{n} /?�b.??l??.n?/ (act of abolishing)
A-bomb;bomba at�mica {f};n;{n} (atomic bomb)
abominable;"abominable, aborrecible";adj;{adj} /??b?m.?.n?.bl?/ (hateful; detestable; loathsome)
abominable snowman;abominable hombre de las nieves {m};n;{n} /??b?m.?.n?.bl? ?sno?.m�n/ (manlike or apelike animal said to exist in the Himalayas)
abominably;abominablemente;adv;{adv} /??b?m.?.n?.bli/ (in an abominable manner)
abominate;"abominar, detestar";v;"{v} /??b?m.??n??t/ (to feel disgust towards, to hate in the highest degree)"
abomination;"abominaci�n {f}, maldad {f}";n;{n} /??b?m.??ne?.?n?/ (something abominable)
aboriginal;"aborigen, ind�gena";adj;{adj} /?�b.????d??.n?.l?/ (original; indigenous)
Aboriginal;"aborigen, aboriginal";n;{n} /?�b.????d??.n?.l?/ (original inhabitant of Australia)
Aboriginal;aborigen;n;{n} (original inhabitant of any land)
aborigine;"aborigen {m} {f}, ind�gena {m} {f}";n;{n} /?�b.????d?.?.ni/ (aboriginal inhabitant of a country)
abort;"aborto, {m}";n;{n} /??b??t/ (A miscarriage)
abort;abortar;v;{v} (to miscarry)
aborted;abortado;adj;{adj}
abortifacient;abortivo;adj;{adj} /??b??.t??fe?.?n?t/ (producing miscarriage)
abortifacient;abortivo {m};n;{n} (agent that causes premature delivery)
abortion;aborto {m};n;{n} (act of inducing abortion)
abortion;"aborto {m}, aborto involuntario";n;{n} /??b??.?n?/ (miscarriage)
abortion;"aborto {m}, aborto inducido";n;{n} (induced abortion)
abortion;"aborto {m}, engendro {m}";n;{n} (something ugly)
abortion;aborto {m};n;"{n} (the act of aborting a project, etc)"
abortional;abortivo;adj;{adj} /??b??.?n?.l?/ (pertaining to abortion)
abortive;"fracasado, frustrado, malogrado";adj;{adj} /??b??.t?v/ (coming to naught; fruitless)
abortive;abortivo;n;{n}
abound;"abundar, ser abundante";v;{v} /??ba?nd/ (to be plentiful)
abound;"abundar, ser abundante";v;{v} (to be copiously supplied)
about;alrededor;adv;{adv} (here and there)
about;alrededor;adv;{adv} (in circuit)
about;alrededor;adv;{adv} (nearly)
about;alrededor;adv;{adv} (on all sides)
about;"sobre, acerca de, de";prep;{prep} (concerning)
about;alrededor de;prep;{prep} /??ba?t/ (around)
about;"sobre, acerca de";prep;{prep} (in concern with)
about;cerca de;prep;{prep} (in the immediate neighborhood of)
about;cerca de;prep;{prep} (near)
about;a punto de;prep;{prep} (on the point or verge of)
about;encima de;prep;{prep} (over or upon different parts of)
about time;"es hora, al fin";adv;{adv} (close to the right time)
about time;ya era hora;adv;{adv} (far past the desired time)
about to;a punto de;phrase;{phrase} (indicating imminence)
